"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718103131063928E9,"2024-06-11 12:52:11.064 UTC+02:00"
"PAUSE",2.524804346291661E3,1.718105655864310E9,"2024-06-11 13:34:15.864 UTC+02:00"
