"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718097953230677E9,"2024-06-11 11:25:53.231 UTC+02:00"
"PAUSE",2.525662082916664E3,1.718100478877647E9,"2024-06-11 12:07:58.878 UTC+02:00"
