"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717669986295363E9,"2024-06-06 12:33:06.295 UTC+02:00"
"PAUSE",2.648914347708333E3,1.717672635211563E9,"2024-06-06 13:17:15.212 UTC+02:00"
